epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3898.69,1.59381,1.21901,1.423,0.78834,0.9375,0.8477,0.32615,1.99736,1.23374,1.83659,0.0012476,0.0012476,0.0012476
40,3996.11,1.73228,1.36086,1.4187,0.70132,0.75,0.76999,0.32087,2.03637,1.25918,1.84023,0.0012278,0.0012278,0.0012278
41,4094.29,1.64528,1.29425,1.43643,0.86095,0.9375,0.93927,0.45639,1.8447,1.13757,1.72917,0.001208,0.001208,0.001208
42,4192.98,1.58194,1.43645,1.41624,0.55434,0.9375,0.80924,0.3161,1.82836,1.22277,1.69005,0.0011882,0.0011882,0.0011882
43,4291.84,1.75609,1.12266,1.50002,0.65465,0.8125,0.81304,0.26651,1.93922,1.41764,1.75036,0.0011684,0.0011684,0.0011684
1,96.7854,3.09153,5.76051,1.9988,0.03246,0.5625,0.0239,0.00416,3.56312,30.1865,2.07439,0.00044,0.00044,0.00044
2,198.182,2.3078,5.13168,1.76668,0.11927,0.875,0.1155,0.03093,2.41481,39.6751,2.22633,0.00088218,0.00088218,0.00088218
3,300.53,2.50942,3.91204,1.9377,0.00143,0.5625,0.00142,0.00052,2.35264,518.924,1.99179,0.00130614,0.00130614,0.00130614
4,398.436,2.18116,3.32788,1.58722,0.24533,1,0.62461,0.14441,2.77365,11.2079,2.78945,0.00171189,0.00171189,0.00171189
5,500.571,2.48312,2.93613,1.80333,0.00032,0.125,0.00018,2e-05,3.11447,41.5848,3.02666,0.0018416,0.0018416,0.0018416
6,599.898,2.43545,8.25289,1.98373,0.19887,0.3125,0.15172,0.03928,2.16427,4.88951,2.07875,0.001802,0.001802,0.001802
7,699.56,2.25603,2.7697,1.83598,0.28217,0.25,0.112,0.02963,1.96837,9.20127,1.94151,0.0017624,0.0017624,0.0017624
8,798.662,2.34763,2.36153,1.94416,0.00549,0.3125,0.00262,0.00098,3.06241,75.4586,10.61,0.0017228,0.0017228,0.0017228
9,896.305,2.24567,2.22082,1.77906,0.00157,0.375,0.00103,0.00056,2.36362,1569.23,2.9918,0.0016832,0.0016832,0.0016832
10,994.696,2.11169,1.75417,1.69073,0.4867,0.5625,0.43666,0.16332,2.01346,2.48077,2.76271,0.0016436,0.0016436,0.0016436
11,1092.28,2.2088,1.63542,1.65418,0.53082,0.625,0.45626,0.16464,1.92435,2.5029,2.3412,0.001604,0.001604,0.001604
